archivo,bloque,item,trial,tipo_tarea,condicion,duracion_audio_seg,objetivo_seg,bola_desaparece_seg,bip_inicio_seg,bip_final_seg,duracion_A_seg,duracion_B_seg,respuesta_correcta,observaciones
audios/estimacion_item1/EST_Item1_Trial1_silencio.wav,estimacion,1,1,produccion_intervalos_5_10_20,silencio,30.000,5/10/20,,0.000,,,,,"Marcar inicio, 5s, 10s y 20s subjetivos. No se solicita marcar un segundo."
audios/estimacion_item1/EST_Item1_Trial2_pulso_constante.wav,estimacion,1,2,produccion_intervalos_5_10_20,pulso_constante,30.000,5/10/20,,0.000,,,,,"Marcar inicio, 5s, 10s y 20s subjetivos. No se solicita marcar un segundo."
audios/estimacion_item1/EST_Item1_Trial3_acelerando.wav,estimacion,1,3,produccion_intervalos_5_10_20,acelerando,30.000,5/10/20,,0.000,,,,,"Marcar inicio, 5s, 10s y 20s subjetivos. No se solicita marcar un segundo."
audios/estimacion_item1/EST_Item1_Trial4_desacelerando.wav,estimacion,1,4,produccion_intervalos_5_10_20,desacelerando,30.000,5/10/20,,0.000,,,,,"Marcar inicio, 5s, 10s y 20s subjetivos. No se solicita marcar un segundo."
audios/estimacion_item2_bola/EST_Item2_Bola_Trial1_silencio.wav,estimacion,2,1,bola_roja_desaparece_marcar_T,silencio,10.500,10.500,4.250,0.000,,,,,La bola desaparece visualmente en el segundo configurado; el audio sigue hasta el objetivo.
audios/estimacion_item2_bola/EST_Item2_Bola_Trial2_pulso_constante.wav,estimacion,2,2,bola_roja_desaparece_marcar_T,pulso_constante,9.000,9.000,6.500,0.000,,,,,La bola desaparece visualmente en el segundo configurado; el audio sigue hasta el objetivo.
audios/estimacion_item2_bola/EST_Item2_Bola_Trial3_acelerando.wav,estimacion,2,3,bola_roja_desaparece_marcar_T,acelerando,6.000,6.000,1.000,0.000,,,,,La bola desaparece visualmente en el segundo configurado; el audio sigue hasta el objetivo.
audios/estimacion_item2_bola/EST_Item2_Bola_Trial4_desacelerando.wav,estimacion,2,4,bola_roja_desaparece_marcar_T,desacelerando,12.000,12.000,8.000,0.000,,,,,La bola desaparece visualmente en el segundo configurado; el audio sigue hasta el objetivo.
audios/estimacion_item2_bola/EST_Item2_Bola_Trial5_pulso_irregular.wav,estimacion,2,5,bola_roja_desaparece_marcar_T,pulso_irregular,8.750,8.750,3.380,0.000,,,,,La bola desaparece visualmente en el segundo configurado; el audio sigue hasta el objetivo.
audios/estimacion_item2_bola/EST_Item2_Bola_Trial6_pulso_constante_largo.wav,estimacion,2,6,bola_roja_desaparece_marcar_T,pulso_constante_largo,12.000,12.000,8.000,0.000,,,,,La bola desaparece visualmente en el segundo configurado; el audio sigue hasta el objetivo.
audios/estimacion_item3_duracion_auditiva/EST_Item3_DuracionAuditiva_Trial1_silencio.wav,estimacion,3,1,estimar_duracion_audio_completo,silencio,7.500,7.500,,0.000,,,,,"Al terminar, la persona responde cuántos segundos cree que duró."
audios/estimacion_item3_duracion_auditiva/EST_Item3_DuracionAuditiva_Trial2_pulso_constante.wav,estimacion,3,2,estimar_duracion_audio_completo,pulso_constante,10.000,10.000,,0.000,,,,,"Al terminar, la persona responde cuántos segundos cree que duró."
audios/estimacion_item3_duracion_auditiva/EST_Item3_DuracionAuditiva_Trial3_acelerando.wav,estimacion,3,3,estimar_duracion_audio_completo,acelerando,12.500,12.500,,0.000,,,,,"Al terminar, la persona responde cuántos segundos cree que duró."
audios/estimacion_item3_duracion_auditiva/EST_Item3_DuracionAuditiva_Trial4_desacelerando.wav,estimacion,3,4,estimar_duracion_audio_completo,desacelerando,9.000,9.000,,0.000,,,,,"Al terminar, la persona responde cuántos segundos cree que duró."
audios/estimacion_item3_duracion_auditiva/EST_Item3_DuracionAuditiva_Trial5_pulso_irregular.wav,estimacion,3,5,estimar_duracion_audio_completo,pulso_irregular,14.000,14.000,,0.000,,,,,"Al terminar, la persona responde cuántos segundos cree que duró."
audios/estimacion_item3_duracion_auditiva/EST_Item3_DuracionAuditiva_Trial6_pulso_constante_corto.wav,estimacion,3,6,estimar_duracion_audio_completo,pulso_constante_corto,6.500,6.500,,0.000,,,,,"Al terminar, la persona responde cuántos segundos cree que duró."
audios/percepcion_item1_dos_bips/PER_Item1_DosBips_Trial1_silencio.wav,percepcion,1,1,intervalo_entre_dos_bips,silencio,5.200,5.000,,0.000,5.000,,,,Responder cuántos segundos pasaron entre el primer y segundo bip.
audios/percepcion_item1_dos_bips/PER_Item1_DosBips_Trial2_pulso_constante.wav,percepcion,1,2,intervalo_entre_dos_bips,pulso_constante,8.200,8.000,,0.000,8.000,,,,Responder cuántos segundos pasaron entre el primer y segundo bip.
audios/percepcion_item1_dos_bips/PER_Item1_DosBips_Trial3_acelerando.wav,percepcion,1,3,intervalo_entre_dos_bips,acelerando,11.200,11.000,,0.000,11.000,,,,Responder cuántos segundos pasaron entre el primer y segundo bip.
audios/percepcion_item1_dos_bips/PER_Item1_DosBips_Trial4_desacelerando.wav,percepcion,1,4,intervalo_entre_dos_bips,desacelerando,13.200,13.000,,0.000,13.000,,,,Responder cuántos segundos pasaron entre el primer y segundo bip.
audios/percepcion_item1_dos_bips/PER_Item1_DosBips_Trial5_pulso_irregular.wav,percepcion,1,5,intervalo_entre_dos_bips,pulso_irregular,16.700,16.500,,0.000,16.500,,,,Responder cuántos segundos pasaron entre el primer y segundo bip.
audios/percepcion_item1_dos_bips/PER_Item1_DosBips_Trial6_pulso_constante_medio.wav,percepcion,1,6,intervalo_entre_dos_bips,pulso_constante_medio,9.500,9.300,,0.000,9.300,,,,Responder cuántos segundos pasaron entre el primer y segundo bip.
audios/percepcion_item2_comparacion_AB/PER_Item2_ComparacionAB_Trial1_facil_B_mayor.wav,percepcion,2,1,comparar_duracion_A_B,facil_B_mayor,19.500,,,,,8.000,10.000,B,"Escucha A y B separados por 1.5s. Responde A, B o Igual."
audios/percepcion_item2_comparacion_AB/PER_Item2_ComparacionAB_Trial2_facil_A_mayor.wav,percepcion,2,2,comparar_duracion_A_B,facil_A_mayor,22.500,,,,,12.000,9.000,A,"Escucha A y B separados por 1.5s. Responde A, B o Igual."
audios/percepcion_item2_comparacion_AB/PER_Item2_ComparacionAB_Trial3_igual.wav,percepcion,2,3,comparar_duracion_A_B,igual,15.500,,,,,7.000,7.000,Igual,"Escucha A y B separados por 1.5s. Responde A, B o Igual."
audios/percepcion_item2_comparacion_AB/PER_Item2_ComparacionAB_Trial4_medio_A_mayor.wav,percepcion,2,4,comparar_duracion_A_B,medio_A_mayor,26.500,,,,,14.000,11.000,A,"Escucha A y B separados por 1.5s. Responde A, B o Igual."
audios/percepcion_item2_comparacion_AB/PER_Item2_ComparacionAB_Trial5_medio_B_mayor.wav,percepcion,2,5,comparar_duracion_A_B,medio_B_mayor,16.000,,,,,6.000,8.500,B,"Escucha A y B separados por 1.5s. Responde A, B o Igual."
audios/percepcion_item2_comparacion_AB/PER_Item2_ComparacionAB_Trial6_dificil_A_mayor.wav,percepcion,2,6,comparar_duracion_A_B,dificil_A_mayor,22.000,,,,,10.500,10.000,A,"Escucha A y B separados por 1.5s. Responde A, B o Igual."
